Date,AAPL,MMM,BA,GS,MSFT
2015-12-31,105.26,150.64,144.59,180.23,55.48
2015-11-30,118.3,156.58,145.45,190.02,54.35
2015-10-30,119.5,157.21,148.07,187.5,52.64
2015-09-30,110.3,141.77,130.95,173.76,44.26
2015-08-31,112.76,142.14,130.68,188.6,43.52
2015-07-31,121.3,151.34,144.17,205.07,46.7
2015-06-30,125.425,154.3,138.72,208.79,44.15
2015-05-29,130.28,159.08,140.52,206.19,46.86
2015-04-30,125.15,156.39,143.34,196.42,48.64
2015-03-31,124.43,164.95,150.08,187.97,40.655
2015-02-27,128.46,168.65,150.85,189.79,43.85
2015-01-30,117.16,162.3,145.37,172.41,40.4
2014-12-31,110.38,164.32,129.98,193.83,46.45
2014-11-28,118.93,160.09,134.36,188.41,47.81
2014-10-31,108,153.77,124.91,189.99,46.95
2014-09-30,100.75,141.68,127.38,183.57,46.36
2014-08-29,102.5,144,126.8,179.11,45.43
2014-07-31,95.6,140.89,120.48,172.87,43.16
2014-06-30,92.93,143.24,127.23,167.44,41.7
2014-05-30,90.4286,142.55,135.25,159.81,40.94
2014-04-30,84.2986,139.09,129.02,159.82,40.4
2014-03-31,76.6771,135.66,125.49,163.85,40.99
2014-02-28,75.1771,134.73,128.92,166.45,38.31
2014-01-31,71.5143,128.19,125.26,164.12,37.84
2013-12-31,80.1457,140.25,136.49,177.26,37.41
2013-11-29,79.4386,133.51,134.25,168.94,38.13
2013-10-31,74.6717,125.85,130.5,160.86,35.405
2013-09-30,68.1071,119.41,117.5,158.21,33.28
2013-08-30,69.6023,113.58,103.92,152.13,33.4
2013-07-31,64.6471,117.43,105.1,164.03,31.84
2013-06-28,56.6471,109.35,102.44,151.25,34.545
2013-05-31,64.2479,110.27,99.02,162.08,34.9
2013-04-30,63.2543,104.71,91.41,146.07,33.1
2013-03-28,63.2371,106.31,85.85,147.15,28.605
2013-02-28,63.0571,104,76.9,149.76,27.8
2013-01-31,65.07,100.55,73.87,147.86,27.45
2012-12-31,76.0247,92.85,75.36,127.56,26.7097
2012-11-30,83.6114,90.95,74.28,117.79,26.615
2012-10-31,85.0457,87.6,70.44,122.39,28.54
2012-09-28,95.3007,92.42,69.595,113.68,29.76
2012-08-31,95.0343,92.6,71.4,105.72,30.82
2012-07-31,87.2514,91.23,73.91,100.9,29.47
2012-06-29,83.4286,89.6,74.3,95.86,30.59
2012-05-31,82.5329,84.41,69.61,95.7,29.19
2012-04-30,83.4257,89.36,76.8,115.15,32.015
2012-03-30,85.65,89.21,74.37,124.37,32.255
2012-02-29,77.4914,87.6,74.95,115.14,31.74
2012-01-31,65.2114,86.71,74.18,111.47,29.53
2011-12-30,57.8571,81.73,73.35,90.43,25.96
2011-11-30,54.6,81.04,68.69,95.86,25.58
2011-10-31,57.8257,79.02,65.79,109.55,26.63
2011-09-30,54.4743,71.79,60.51,94.55,24.89
2011-08-31,54.9757,82.98,66.86,116.22,26.6
2011-07-29,55.7829,87.14,70.47,134.97,27.4
2011-06-30,47.9529,94.85,73.93,133.09,26
2011-05-31,49.69,94.38,78.03,140.73,25.01
2011-04-29,50.0186,97.21,79.78,151.01,25.92
2011-03-31,49.7868,93.5,73.93,158.6,25.39
2011-02-28,50.4586,92.23,72.01,163.78,26.58
2011-01-31,48.4743,87.92,69.48,163.62,27.725
2010-12-31,46.08,86.3,65.26,168.16,27.91
2010-11-30,44.45,83.98,63.77,156.14,25.2575
2010-10-29,42.9971,84.22,70.64,161.13,26.665
2010-09-30,40.5357,86.71,66.54,144.58,24.49
2010-08-31,34.7286,78.55,61.13,136.93,23.465
2010-07-30,36.75,85.54,68.14,150.82,25.81
2010-06-30,35.9329,78.99,62.75,131.27,23.01
2010-05-28,36.6971,79.31,64.18,144.26,25.8
2010-04-30,37.2986,88.67,72.43,145.2,30.535
2010-03-31,33.5714,83.57,72.61,170.63,29.2875
2010-02-26,29.2314,80.15,63.16,156.35,28.67
2010-01-29,27.4376,80.49,60.6,148.72,28.18
2009-12-31,30.1046,82.67,54.13,168.84,30.48
